model_family,number,value,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state,user_attrs_mean_predicted_uplift,user_attrs_policy_gain_top10,user_attrs_policy_gain_top20,user_attrs_policy_gain_top30,user_attrs_positive_uplift_rate,user_attrs_qini_auc,user_attrs_resolved_params,user_attrs_treatment_response_auc,user_attrs_uplift_auc,params_C,params_class_weight,params_penalty
ft_transformer,20,0.17973696337180928,1024.0,0.1295829853292001,64.0,128.0,0.0002943328767360262,8.0,3.0,0.0007928677352517405,COMPLETE,0.0006349413156221891,0.00820546952406442,0.004802965843420102,0.003410848636230866,1.0,0.17973696337180928,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 8, 'dropout': 0.1295829853292001, 'hidden_dim': 128, 'learning_rate': 0.0002943328767360262, 'weight_decay': 0.0007928677352517405, 'batch_size': 1024}",0.949685500898463,0.005821600874990609,,,
ft_transformer,21,0.20447411035014113,1024.0,0.13415812630287555,64.0,128.0,0.0001553944560160984,2.0,3.0,0.00015908767368294223,COMPLETE,0.00031072047202727025,0.00939522956234189,0.005386930209710426,0.003657685949907257,0.695570688717846,0.20447411035014113,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.13415812630287555, 'hidden_dim': 128, 'learning_rate': 0.0001553944560160984, 'weight_decay': 0.00015908767368294223, 'batch_size': 1024}",0.942201115697578,0.0066456829486491766,,,
ft_transformer,22,0.18031724726472562,1024.0,0.15450247390340566,64.0,128.0,0.00015968663159612054,2.0,3.0,0.00010515177457850574,COMPLETE,0.0003556296264360672,0.008489540402355958,0.004784557424224355,0.0033834156748449888,0.32985207015937507,0.18031724726472562,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.15450247390340566, 'hidden_dim': 128, 'learning_rate': 0.00015968663159612054, 'weight_decay': 0.00010515177457850574, 'batch_size': 1024}",0.9333144302910857,0.0058407121843054985,,,
ft_transformer,23,0.178019269786436,1024.0,0.09946202272531215,64.0,128.0,0.0001321273169831963,2.0,3.0,0.0002687774693350591,COMPLETE,0.0005940252261103003,0.007710153719135179,0.004706916429823784,0.0034011458368944083,0.9524640666876496,0.178019269786436,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.09946202272531215, 'hidden_dim': 128, 'learning_rate': 0.0001321273169831963, 'weight_decay': 0.0002687774693350591, 'batch_size': 1024}",0.9492071778707469,0.005765285160669235,,,
ft_transformer,24,0.21147996692812898,1024.0,0.18334927667733136,64.0,128.0,0.00020311503013123748,2.0,3.0,3.155210141316047e-05,COMPLETE,0.00016637745278732518,0.00931850115539011,0.0052763229243280516,0.0037758450518847906,0.4301839823743169,0.21147996692812898,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.18334927667733136, 'hidden_dim': 128, 'learning_rate': 0.00020311503013123748, 'weight_decay': 3.155210141316047e-05, 'batch_size': 1024}",0.9460507218514568,0.006879530704327843,,,
ft_transformer,25,0.18202229671445966,1024.0,0.1982423587195795,64.0,128.0,0.0002366370446050188,2.0,3.0,2.5174256397429048e-05,COMPLETE,0.0006036897511551966,0.008603821401384836,0.004836770816833064,0.003510066433779279,1.0,0.18202229671445966,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.1982423587195795, 'hidden_dim': 128, 'learning_rate': 0.0002366370446050188, 'weight_decay': 2.5174256397429048e-05, 'batch_size': 1024}",0.9475446450572163,0.005899871160138484,,,
ft_transformer,26,0.20222881677107915,1024.0,0.17671606885103677,64.0,128.0,0.00019336057039467665,2.0,4.0,3.92105242274043e-05,COMPLETE,0.0001702931184391775,0.00890187375185508,0.00519924967194434,0.0036913297608550015,0.9890650185508407,0.20222881677107915,"{'embedding_dim': 64, 'num_layers': 4, 'num_heads': 2, 'dropout': 0.17671606885103677, 'hidden_dim': 128, 'learning_rate': 0.00019336057039467665, 'weight_decay': 3.92105242274043e-05, 'batch_size': 1024}",0.9487876608653678,0.006574007352787777,,,
ft_transformer,27,0.17361743149973935,1024.0,0.22277642245699697,64.0,128.0,0.0004151245379377438,2.0,2.0,8.514722365081267e-06,COMPLETE,0.0006474122276996455,0.008667473431269418,0.004708843899882445,0.0032560756767478893,0.9914303699676672,0.17361743149973935,"{'embedding_dim': 64, 'num_layers': 2, 'num_heads': 2, 'dropout': 0.22277642245699697, 'hidden_dim': 128, 'learning_rate': 0.0004151245379377438, 'weight_decay': 8.514722365081267e-06, 'batch_size': 1024}",0.9498624398698846,0.0056438888056697225,,,
ft_transformer,28,0.18335447194640056,2048.0,0.2813054084814359,32.0,128.0,0.00016416369458056133,2.0,3.0,0.00017667970449087802,COMPLETE,0.00017607004449250174,0.00908303027393369,0.004636101793228186,0.0033681865593447706,0.8593045103817945,0.18335447194640056,"{'embedding_dim': 32, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.2813054084814359, 'hidden_dim': 128, 'learning_rate': 0.00016416369458056133, 'weight_decay': 0.00017667970449087802, 'batch_size': 2048}",0.948001197344748,0.0059353357245387805,,,
ft_transformer,29,0.1812057626234967,4096.0,0.11947485102603952,96.0,128.0,0.00022421300785242554,4.0,3.0,0.0004968463361357416,COMPLETE,0.0003815401431910469,0.007595147853790566,0.0047721817220297644,0.0033788966532798843,1.0,0.1812057626234967,"{'embedding_dim': 96, 'num_layers': 3, 'num_heads': 4, 'dropout': 0.11947485102603952, 'hidden_dim': 128, 'learning_rate': 0.00022421300785242554, 'weight_decay': 0.0004968463361357416, 'batch_size': 4096}",0.9480867686613162,0.005869637563785597,,,
